,,,,,,,,
Day,Topic,Provider,Lab Duration,Course Link,,,,
Week 1,,,,,,,,
Monday,,,,,,,,
,"Responsible AI use, ethical principles, & governance",,,,,,,
,The Five Pillars of Ethical AI in Business,Udemy,5m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579797,,,,
,How to Assess AI Risk in Your Daily Work,Udemy,6m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579799,,,,
,Ethical AI in Practice: Pillars and Risk Assessment,Udemy,10m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/quiz/7725727,,,,
,Protecting Privacy When Using ChatGPT and AI,Udemy,7m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579803,,,,
,Transparency and Disclosure,Udemy,4m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579805,,,,
,Understanding AI Bias,Udemy,6m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579809,,,,
,Governance Framework ,Udemy,5m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579815,,,,
,Case Study - When AI Goes Wrong at Work,Udemy,4m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579823,,,,
,Case Study - Ethical AI Success Stories,Udemy,6m,https://amazon.udemy.com/course/ai-ethicsresponsible-use/learn/lecture/53579827,,,,
,RAG,,,,,,,
,What is Retrieval-Augmented Generation (RAG)?,YouTube,7m,https://www.youtube.com/watch?v=T-D1OfcDW1M,,,,
,Amazon Bedrock - RAG & Knowledge Base,Udemy,7m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886389,,,,
,Amazon Bedrock - RAG & Knowledge Base - Hands On,Udemy,4m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886393,,,,
,Amazon Bedrock - RAG & Knowledge Base - Complete Setup - Hands On,Udemy,11m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44901525,,,,
,LLM,,,,,,,
,What are LLMs?,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921472,,,,
,How large is an LLM?,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921474,,,,
,General purpose models,Udemy,1m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921478,,,,
,Pre-training and fine tuning,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921480,,,,
,What can LLMs be used for?,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921482,,,,
,Deep learning recap,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921492,,,,
,The problem with RNNs,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921496,,,,
,The solution: attention is all you need,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921500,,,,
,Transformers,,,,,,,
,The transformer architecture,Udemy,1m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921504,,,,
,Input embeddings,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921508,,,,
,Multi-headed attention,Udemy,4m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921538,,,,
,Feed-forward layer,Udemy,2m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921540,,,,
,Masked multihead attention,Udemy,2m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921542,,,,
,Predicting the final outputs,Udemy,2m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921544,,,,
,What does GPT mean?,Udemy,2m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921550,,,,
,What is Generative AI (GenAI)?,Udemy,11m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44879563,,,,
,GPT vs BERT,Udemy,3m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921592,,,,
,BERT architecture,Udemy,5m,https://amazon.udemy.com/course/intro-to-large-language-models-llms/learn/lecture/43921594,,,,
,,,,,,,,
,,,,,,,,
Tuesday,AI - First Steps,,,,,,,
,Prompt Engeneering ,Udemy,4m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886465,,,,
,Prompt Engeneering Hands-on,Udemy,3m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886473,,,,
,Prompt Engineering Techniques,Udemy,5m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886495,,,,
,Tokenization,,,,,,,
,AI Foundations: Tokens & Pricing ,YouTube,4m,https://www.youtube.com/watch?v=Gauk0F6UBFo,,,,
,What Is a Token in AI? An Explainer,Reading,25m,https://www.couchbase.com/blog/what-is-a-token-in-ai/,,,,
,Top P Top K perameters,,,,,,,
,Prompt Performance Optimization,Udemy,5m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886483,,,,
,Prompt Performance Optimization - Hands On,Udemy,3m,https://amazon.udemy.com/course/aws-ai-practitioner-certified/learn/lecture/44886491,,,,
,"Understanding Temperature, Top-k, and Top-p Sampling in Generative Models",Reading,20m,https://codefinity.com/blog/Understanding-Temperature%2C-Top-k%2C-and-Top-p-Sampling-in-Generative-Models,,,,
,AWS SimuLearn: Get Started with Generative AI,Skill Builder,1h,https://skillbuilder.aws/learn/ZCZVUZGPSS/aws-simulearn-get-started-with-generative-ai/T7TJ3K6WVZ,,,,
,Essentials of Prompt Engineering,Skill Builder,1h,https://skillbuilder.aws/learn/XBNAVKA88J/essentials-of-prompt-engineering/9T9Q45EDTV,,,,
,Hallucinations,,,,,,,
,AI Foundations: Hallucinations,YouTube,7m,https://www.youtube.com/watch?v=JJDAaxxhF74&list=PLuI2ZfvGpzwCEXrl_K6bW5OqNpZq3HkMa&index=3,,,,
,AI Hallucination: A Guide With Examples,Reading,30m,https://www.datacamp.com/blog/ai-hallucination,,,,
,,,,,,,,
Wednesday,Enhancing AI Utility - Xavier,,,,,,,
,Stage 1 - Hands-on Introduction,,,,,,,
,AWS SimuLearn: Explore the Amazon Bedrock Playgrounds,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/YZDUMAQABG/aws-simulearn-explore-the-amazon-bedrock-playgrounds/88NAE39D3Z,,,,
,Stage 2 - Retrieval augmented generation (RAG),,,,,,,
,Skill Builder Digital Course: Optimizing Foundation Models,Skill Builder (reading),1 hr,https://skillbuilder.aws/learn/CDYTAJCKGY/optimizing-foundation-models/PVR1FRGN1T,,,,
,AWS SimuLearn: Create an Enterprise Knowledge Assistant (RAG),Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/7E4FETUE2Y/aws-simulearn-create-an-enterprise-knowledge-assistant/2F4Q5XU8WB,,,,
,Stage 3 - Guardrails,,,,,,,
,AWS Blog: Build safe and responsible generative AI applications with guardrails,AWS Blog,30-40 mins,https://aws.amazon.com/blogs/machine-learning/build-safe-and-responsible-generative-ai-applications-with-guardrails/,,,,
,AWS SimuLearn: Secure Conversational AI with Guardrails,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/6XKW5KV9FS/aws-simulearn-secure-conversational-ai-with-guardrails/R6NFKDHSND,,,,
,Stage 4 - Agents,,,,,,,
,AWS - What are AI Agents?,AWS Webpage,30-40 mins,https://aws.amazon.com/what-is/ai-agents/,,,,
,Skill Builder Lab: Create an HR Agent with Amazon Quick,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/2BS4H48DT3/create-an-hr-agent-with-amazon-quick/YRBYXHH7EC,,,,
,Skill Builder Quiz - Agentic AI Fundamentals,Skill Builder,10 mins,https://skillbuilder.aws/learn/7UPW9GRF3B/quiz--agentic-ai-fundamentals/SHNJ79FEA4,,,,
,Stage 5 - Governance and compliance,,,,,,,
,"Skill Builder Digital Course: Security, Compliance, and Governance for AI Solutions",Skill Builder (reading),1 hr,https://skillbuilder.aws/learn/YFACXFGBSJ/security-compliance-and-governance-for-ai-solutions/YZTVAG8P4Q,,,,
,Stage 6 - Extra labs,,,,,,,
,AWS SimuLearn: Use AI Services with Amazon SageMaker,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/2BDPR3RDK2/aws-simulearn-use-ai-services-with-amazon-sagemaker/FQCRQT43XZ,,,,
,AWS SimuLearn: Generate Code for a Webpage,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/XR5XSR3BHZ/aws-simulearn-generate-code-for-a-webpage/SFXMVX8EFH,,,,
,AWS SimuLearn: Build and Understand Code with Amazon Q,Skill Builder (Lab),1 hr,https://skillbuilder.aws/learn/Y2FQ5WF2R2/aws-simulearn-build-and-understand-code-with-amazon-q/1C5TAE62YQ,,,,
,,,,,,,,
Thursday,,,,,,,,
,Vibe Coding Basics,,,,,,,
,Introduction to Vibe Coding,Udemy,2m,https://amazon.udemy.com/course/vibe-coding-bootcamp-build-web-apps-with-ai-chatgpt-gemini-lovable/learn/lecture/50729637,,,,
,Using the Canvas Feature from ChatGPT & Claude to Create a Landing Page,Udemy,6m,https://amazon.udemy.com/course/vibe-coding-bootcamp-build-web-apps-with-ai-chatgpt-gemini-lovable/learn/lecture/50729497,,,,
,Building a Multiplication Game With Gemini,Udemy,5m,https://amazon.udemy.com/course/vibe-coding-bootcamp-build-web-apps-with-ai-chatgpt-gemini-lovable/learn/lecture/50729545,,,,
,Using AI in Visual Studio Code with Github Copilot,Udemy,8m,https://amazon.udemy.com/course/vibe-coding-bootcamp-build-web-apps-with-ai-chatgpt-gemini-lovable/learn/lecture/50729593,,,,
,Build Full Stack Apps,,,,,,,
,Expanding the Multiplication Game with Github Copilot,Udemy,,https://amazon.udemy.com/course/vibe-coding-bootcamp-build-web-apps-with-ai-chatgpt-gemini-lovable/learn/lecture/50729607,,,,
