,,,,,,,,
Day,Topic,Provider,Lab Duration,Course Link,,,,
Week 1,,,,,,,,
Monday,,,,,,,,
Tuesday,,,,,,,,
Wednesday,,,,,,,,
Thursday,,,,,,,,
Friday,,,,,,,,
Week 2,,,,,,,,
Monday,VPC & Networking,,,,,,,
,[networking fundamentals] - IP Addressing Basics,Udemy,9m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158648#overview,,,,
,[networking fundamentals] - What is DNS,Udemy,7m,https://amazon.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/learn/lecture/28384280#overview,,,,
,[networking fundamentals] - The OSI Model,Udemy,5m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158656#overview,,,,
,[networking fundamentals] - Routing and Switching,Udemy,5m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158658#overview,,,,
,[networking fundamentals] - NAT,Udemy,5m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158662#overview,,,,
,[networking fundamentals] - Firewalls,Udemy,4m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158666#overview,,,,
,AWS Global Infrastructure,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42783126#overview,,,,
,Networking in the Cloud,Udemy,9m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158624#overview,,,,
,VPC overview,Udemy,7m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158832#overview,,,,
,VPC continued,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42785884#overview,,,,
,"Public, Private and Elastic IPs",Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/26140742#overview,,,,
,Hands-on: Working with IP Addresses,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/37509374#overview,,,,
,SGs and NACLs,Udemy,11m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158846#overview,,,,
,Hands-on: SGs and NACLs,Udemy,7m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158850#overview,,,,
,NAT GWs,Udemy,8m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/26140746#overview,,,,
,Hands-on: Deploy NAT GW,Udemy,6m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/37509510#overview,,,,
,Hands-on: Default VPC walkthrough,Udemy,6m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158834#overview,,,,
,Public and Private Subnets,Udemy,4m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158836#overview,,,,
,Defining VPC CIDR Blocks,Udemy,5m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158838#overview,,,,
,Hands-on: Create a Custom VPC with Subnets,Udemy,9m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158840#overview,,,,
,Hands-on: Configure Routing,Udemy,6m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24158844#overview,,,,
,Route 53 Overview,Udemy,6m,https://amazon.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/learn/lecture/13528180#overview,,,,
,CloudFront,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42785890#overview,,,,
,Hands-on: Create a Secure CloudFront Distribution,Udemy,12m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42919092#overview,,,,
,VPN & DX,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/26140758#overview,,,,
,VPC Peering,Udemy,8m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/26140750#overview,,,,
,TGW,Udemy,10m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/26140760#overview,,,,
,VPC Endpoints,Udemy,5m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24169012#overview,,,,
,Hands-on: VPC Endpoints,Udemy,8m,https://amazon.udemy.com/course/aws-networking-amazon-vpc-aws-vpn-hybrid-cloud/learn/lecture/24169018#overview,,,,
,VPC Flow Logs,Udemy,5m,https://amazon.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/learn/lecture/28874566#overview,,,,
,Quiz (light self-assessment),Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/quiz/4749246,,,,
,Quiz (light self-assessment),Udemy,5m,https://amazon.udemy.com/course/aws-certified-advanced-networking-specialty-ans/learn/quiz/5339379#overview,,,,
,Course (free tier) - AWS Networking Basics,SkillBuilder,2h,https://skillbuilder.aws/learn/S1VYRYHD8V/aws-networking-basics/SKP7248UVF,,,,
,Lab (free tier) - Intro to AWS VPC,SkillBuilder,45m,https://skillbuilder.aws/learn/PH6Z6EVH8Z/introduction-to-amazon-virtual-private-cloud-vpc/PA8H7FUE15,,,,
,Lab (free tuer) - Intro to AWS CloudFront,SkillBuilder,1h,https://skillbuilder.aws/learn/NVJ224EA5N/introduction-to-amazon-cloudfront/7JNHFE69BD,,,,
,Lab (free tier) - Build Your First VPC,SkillBuilder,1h30m,https://skillbuilder.aws/learn/R4AK6FUM4D/building-your-first-amazon-virtual-private-cloud-vpc/C5RF3QG2V1,,,,
,Lab (free tier) (SimuLearn) - Networking Concepts,SkillBuilder,1h,https://skillbuilder.aws/learn/XCEMH2NXKJ/aws-simulearn-networking-concepts/QN5P4AJMUV,,,,
,Bastion host overview,Wikipedia,2m,https://en.wikipedia.org/wiki/Bastion_host,,,,
,Exercise: Bastion hosts,AWS Docs,30m,https://docs.aws.amazon.com/vpc/latest/privatelink/getting-started.html,,,,
,,,,,,,,
Tuesday,"EC2, ELB, ASG, Lambda",,,,,,,
,EC2 -,,,,,,,
,ELB -,,,,,,,
,ASG -,,,,,,,
,Serverless introduction,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20056030#overview,,,,
,Serverless services and event-driven architecture,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42785868#overview,,,,
,Lambda overview,Udemy,6m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20056024#overview,,,,
,Lambda,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42785878#overview,,,,
,Hands-on: Lambda 1,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20056026#overview,,,,
,Hands-on: Lambda 2,Udemy,11m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-training-course/learn/lecture/42918944#overview,,,,
,,,,,,,,
,,,,,,,,
Wednesday,"EBS, S3, and Cloud Storage",,,,,,,
,EBS Overview,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055762#overview,,,,
,(EBS) About EBS Multi-Attach,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/26240664#overview,,,,
,EBS Hands On,Udemy,6m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055776#overview,,,,
,EBS Snapshots Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055798#overview,,,,
,EBS Snapshots Hands On,Udemy,4m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055802#overview,,,,
,AMI Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055810#overview,,,,
,AMI Hands On,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055814#overview,,,,
,EC2 Image Builder Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/24682456#overview,,,,
,EC2 Instance Store,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055816#overview,,,,
,EFS Overview,Udemy,4m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055824#overview,,,,
,FSX Overview,Udemy,3m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/26623482#overview,,,,
,EC2 Shared Responsibility Model For EC2 Storage,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055828#overview,,,,
,EC2 Instance Storage Summary,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20260618#overview,,,,
,Section Cleanup,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20207862#overview,,,,
,EC2 Instance Storage Quiz,Udemy,5m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/quiz/4900308#overview,,,,
,S3 Overview,Udemy,6m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055904#overview,,,,
,S3 Hands On,Udemy,7m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055910#overview,,,,
,S3 Website Overview,Udemy,1m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055922#overview,,,,
,S3 Website Hands On,Udemy,2m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20055926#overview,,,,
